ACCESSION_NUMBER	NONDERIV_TRANS_SK	SECURITY_TITLE	SECURITY_TITLE_FN	TRANS_DATE	TRANS_DATE_FN	DEEMED_EXECUTION_DATE	DEEMED_EXECUTION_DATE_FN	TRANS_FORM_TYPE	TRANS_CODE	EQUITY_SWAP_INVOLVED	EQUITY_SWAP_TRANS_CD_FN	TRANS_TIMELINESS	TRANS_TIMELINESS_FN	TRANS_SHARES	TRANS_SHARES_FN	TRANS_PRICEPERSHARE	TRANS_PRICEPERSHARE_FN	TRANS_ACQUIRED_DISP_CD	TRANS_ACQUIRED_DISP_CD_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001437749-25-030143	8775063	Common Stock		29-SEP-2025				4	S	0	F5			5611.0		94.8	F6	D		3433.0				D			
0001437749-25-030143	8775062	Common Stock		29-SEP-2025				4	D	0				7300.0	F4	94.64		D		7934.0				D			
0001437749-25-030143	8775061	Common Stock		29-SEP-2025				4	M	0	F3			10000.0		69.14		A		15234.0				D			
0001437749-25-030143	8775060	Common Stock		29-SEP-2025				4	D	0				5291.0	F2	95.0		D		6344.0				D			
0001437749-25-030143	8775059	Common Stock		29-SEP-2025				4	M	0	F1			6401.0		78.53		A		11635.0				D			
0001437749-25-030142	8774730	Common Stock		29-SEP-2025				4	S	0	F3			14994.0		94.71	F4	D		35419.0				D			
0001437749-25-030142	8774729	Common Stock		29-SEP-2025				4	D	0				30371.0	F2	94.71		D		50413.0				D			
0001437749-25-030142	8774728	Common Stock		29-SEP-2025				4	M	0	F1			45365.0		63.4		A		80784.0				D			
0001437749-25-030141	8774875	Common Stock		26-SEP-2025				4	S	0				229.0		94.83		D		5261.0				D			
0001437749-25-030141	8774876	Common Stock		30-SEP-2025				4	S	0				400.0		95.98		D		4861.0				D			
0001437749-25-030141	8774874	Common Stock		26-SEP-2025				4	D	0				981.0	F2	94.83		D		5490.0				D			
0001437749-25-030141	8774873	Common Stock		26-SEP-2025				4	M	0	F1			1210.0		76.87		A		6471.0				D			
0001213900-25-094291	8775122	Common Stock		30-SEP-2025				4	A	0				47689349.0	F2, F1	0.0		A		47689349.0				I		Through Rosy Sea Holdings Limited	
0001193125-25-225637	8774708	Common Stock		26-SEP-2025				4	D	false	F1			340.71	F3	23.0		D		0.0				I			
0001193125-25-225637	8774707	Common Stock		26-SEP-2025				4	D	false	F1			11835.15	F2	23.0		D		0.0				D			
0001193125-25-225637	8774705	Common Stock		13-JUN-2025				4	L	false				68.24		15.71		A		7855.03				D			
0001193125-25-225637	8774704	Common Stock		14-MAR-2025				4	L	false				52.85		20.13		A		7786.79				D			
0001193125-25-225637	8774703	Common Stock		13-DEC-2024				4	P	false				47.94		21.36		A		7733.94				D		By 401(k) Plan	
0001193125-25-225637	8774706	Common Stock		12-SEP-2025				4	L	false				47.12		23.0		A		7902.15				D			
0001737912-25-000006	8774593	Registered Shares		26-SEP-2025				4	P	0	F1			4000000.0	F1	3.05		A		95074894.0				D			
0001729635-25-000005	8774744	Registered Shares		26-SEP-2025				4	P	0	F1			4000000.0	F1	3.05		A		95074894.0				I		By Perestroika (Cyprus) Ltd.	F2
0000950103-25-012608	8774527	Common Stock		26-SEP-2025				4	A	0				117948.0	F1	0.0		A		117948.0				D			
0001729638-25-000008	8774849	Registered Shares		26-SEP-2025				4	P	0	F1			4000000.0	F1	3.05		A		95074894.0				I		By Perestroika (Cyprus) Ltd.	F2
0001657025-25-000007	8774537	Common Stock		25-SEP-2025				4	S	0	F1			2961.0		41.88	F2	D		144229.0				D			
0001140361-25-036835	8774794	Class A Common Stock		08-SEP-2025				4	M	0	F1			130000.0		1.0		A		802708.0				D			
0001193125-25-225622	8774698	Common Stock		30-SEP-2025				4	M	false				33350.0		0.0		A		186282.0				D			
0001193125-25-225622	8774699	Common Stock		30-SEP-2025				4	F	false				14854.0		0.0	F1	D		171428.0				D			
0001193125-25-225621	8774544	Common Stock		30-SEP-2025				4	M	false				33350.0		0.0		A		153687.0				D			
0001193125-25-225621	8774545	Common Stock		30-SEP-2025				4	F	false				13123.0		0.0	F1	D		140564.0				D			
0001193125-25-225620	8774940	Common Stock		26-SEP-2025				4	D	false	F1			30.14	F3	23.0		D		0.0				I			
0001193125-25-225620	8774939	Common Stock		26-SEP-2025				4	D	false	F1			47889.0	F2	23.0		D		0.0				D		By 401(k) Plan	
0001193125-25-225616	8774781	Common Stock		26-SEP-2025				4	D	false	F1			11450.0	F2	23.0		D		0.0				D			
0001193125-25-225614	8774929	Common Stock		26-SEP-2025				4	D	false	F1			24354.0		23.0		D		0.0				D		Held in Trust for Spouse	
0001193125-25-225614	8774930	Common Stock		26-SEP-2025				4	D	false	F1			6.0		23.0		D		0.0				I		Held in Trust for Children	
0001193125-25-225614	8774931	Common Stock		26-SEP-2025				4	D	false	F1			6.0		23.0		D		0.0				I			
0001193125-25-225613	8774845	Common Stock		26-SEP-2025				4	D	false	F1			1241.0	F2	23.0		D		0.0				D		By 401(k) Plan	
0001193125-25-225613	8774846	Common Stock		26-SEP-2025				4	D	false	F1			177.14	F3	23.0		D		0.0				I		Held in Trust by Spouse	
0001193125-25-225613	8774847	Common Stock		26-SEP-2025				4	D	false	F1			23284.0		23.0		D		0.0				I			
0001193125-25-225606	8774751	Common Stock		26-SEP-2025				4	D	false	F1			3923.0		23.0		D		0.0				D		By 401(k) Plan	
0001193125-25-225606	8774752	Common Stock		26-SEP-2025				4	D	false	F1			79.95	F2	23.0		D		0.0				I		Held in Trust by Spouse	
0001193125-25-225606	8774755	Common Stock		26-SEP-2025				4	D	false	F1			95442.0		23.0		D		0.0				I			
0001193125-25-225606	8774753	Common Stock		26-SEP-2025				4	D	false	F1			318.0		23.0		D		0.0				I		Held in Trust by Spouse and Children	
0001193125-25-225606	8774754	Common Stock		26-SEP-2025				4	D	false	F1			12867.0		23.0		D		0.0				I		Held in Trust for Self	
0001193125-25-225604	8775029	Common Stock		26-SEP-2025				4	D	false	F1			25354.0		23.0		D		0.0				D		By Trust	
0001193125-25-225604	8775030	Common Stock		26-SEP-2025				4	D	false	F1			75.0		23.0		D		0.0				I			
0001341439-25-000040	8774734	Common Stock		26-SEP-2025				4	S	0				2222.0		288.91		D		29225.0				D			
0001341439-25-000040	8774735	Common Stock		26-SEP-2025				4	G	0				1406.0		0.0		D		27819.0				D			
0001193125-25-225595	8774733	Common Stock		26-SEP-2025				4	D	false	F1			504.11	F2	23.0		D		0.0				D			
0001268406-25-000017	8775087	Common Stock		26-SEP-2025				4	S	0	F1			21376.0	F2	201.18	F3	D		246394.0				D			
0001268406-25-000017	8775090	Common Stock		29-SEP-2025				4	S	0	F1			2178.0	F5	199.7		D		249016.0				D			
0001268406-25-000017	8775089	Common Stock		29-SEP-2025				4	S	0	F1			19200.0	F4	202.19		D		251194.0				D			
0001268406-25-000017	8775088	Common Stock		29-SEP-2025				4	M	0	F1			24000.0		19.68		A		270394.0				D			
0001268406-25-000017	8775086	Common Stock		26-SEP-2025				4	M	0	F1			24000.0		19.68		A		267770.0				D			
0001140361-25-036831	8774598	Common Shares		28-SEP-2025				4	F	0				2341.0	F1	15.17		D		389508.0				D			
0001193125-25-225591	8775015	Common Stock		26-SEP-2025				4	D	false	F1			24354.0		23.0		D		0.0				D			
0001193125-25-225585	8774562	Common Stock		26-SEP-2025				4	D	false	F1			250000.0		23.0		D		0.0				I		See footnote	F3
0001193125-25-225585	8774561	Common Stock		26-SEP-2025				4	D	false	F1			35310.0		23.0		D		0.0				D		See footnote	F2
0001193125-25-225585	8774565	Common Stock		26-SEP-2025				4	D	false	F1			2300.0		23.0		D		0.0				I			
0001193125-25-225585	8774563	Common Stock		26-SEP-2025				4	D	false	F1			352250.0		23.0		D		0.0				I		See footnote	F4
0001193125-25-225585	8774564	Common Stock		26-SEP-2025				4	D	false	F1			8574.0		23.0		D		0.0				I		See footnote	F5
0001193125-25-225582	8775038	Common Stock		26-SEP-2025				4	D	false	F1			24354.0		23.0		D		0.0				D			
0001193125-25-225576	8775054	Common Stock		26-SEP-2025				4	D	false	F1			24354.0		23.0		D		0.0				D			
0001193125-25-225571	8774692	Common Stock		26-SEP-2025				4	D	false	F1			24354.0		23.0		D		0.0				D			
0001193125-25-225565	8774784	Common Stock		26-SEP-2025				4	A	false				9.75	F1	0.0		A		4845.74				D			
0001193125-25-225565	8774787	Common Stock		26-SEP-2025				4	A	false				0.13	F4	0.0		A		4847.67				D			
0001193125-25-225565	8774786	Common Stock		26-SEP-2025				4	A	false				0.15	F3	0.0		A		4847.54				D			
0001193125-25-225565	8774785	Common Stock		26-SEP-2025				4	A	false				1.65	F2	0.0		A		4847.39				D			
0001741560-25-000015	8774669	Common Stock		26-SEP-2025				4	S	0	F1			120370.0		18.02	F2	D		6811256.0				D			F3
0001193125-25-225557	8774606	Common Stock		26-SEP-2025				4	A	false				6.89	F2	0.0		A		47508.15	F3			D			
0001193125-25-225557	8774605	Common Stock		26-SEP-2025				4	A	false				104.82	F1	0.0		A		47501.27				D			
0001193125-25-225552	8774987	Common Stock		26-SEP-2025				4	A	false				0.15	F6	0.0		A		14040.97				D			
0001193125-25-225552	8774985	Common Stock		26-SEP-2025				4	A	false				0.16	F4	0.0		A		14040.64				D			
0001193125-25-225552	8774983	Common Stock		26-SEP-2025				4	A	false				10.38	F2	0.0		A		14040.34				D			
0001193125-25-225552	8774982	Common Stock		26-SEP-2025				4	A	false				22.64	F1	0.0		A		14029.96				D			
0001193125-25-225552	8774986	Common Stock		26-SEP-2025				4	A	false				0.18	F5	0.0		A		14040.82				D			
0001193125-25-225552	8774984	Common Stock		26-SEP-2025				4	A	false				0.14	F3	0.0		A		14040.47				D			
0001193125-25-225548	8774578	Common Stock		26-SEP-2025				4	A	false				7.1	F3	0.0		A		20954.54				D			
0001193125-25-225548	8774576	Common Stock		26-SEP-2025				4	A	false				2.72	F1	0.0		A		20943.22				D			
0001193125-25-225548	8774579	Common Stock		26-SEP-2025				4	A	false				12.33	F4	0.0		A		20966.87				D			
0001193125-25-225548	8774577	Common Stock		26-SEP-2025				4	A	false				4.22	F2	0.0		A		20947.44				D			
0001193125-25-225546	8774623	Common Stock		26-SEP-2025				4	A	false				0.03	F5	0.0		A		35264.83				D			
0001193125-25-225546	8774622	Common Stock		26-SEP-2025				4	A	false				0.05	F4	0.0		A		35264.8				D			
0001193125-25-225546	8774621	Common Stock		26-SEP-2025				4	A	false				0.04	F3	0.0		A		35264.75				D			
0001193125-25-225546	8774620	Common Stock		26-SEP-2025				4	A	false				22.85	F2	0.0		A		35264.71				D			
0001193125-25-225546	8774619	Common Stock		26-SEP-2025				4	A	false				60.05	F1	0.0		A		35241.86				D			
0001193125-25-225546	8774624	Common Stock		26-SEP-2025				4	A	false				0.03	F6	0.0		A		35264.86				D			
0001193125-25-225541	8775050	Common Stock		26-SEP-2025				4	A	false				3.11	F2	0.0		A		21195.53				D			
0001193125-25-225541	8775049	Common Stock		26-SEP-2025				4	A	false				2.35	F1	0.0		A		21192.42				D			
0001193125-25-225541	8775052	Common Stock		26-SEP-2025				4	A	false				12.33	F4	0.0		A		21217.32				D			
0001193125-25-225541	8775051	Common Stock		26-SEP-2025				4	A	false				9.47	F3	0.0		A		21205.0				D			
0001193125-25-225539	8775005	Common Stock		26-SEP-2025				4	A	false				0.24	F5	0.0		A		49300.76				D			
0001193125-25-225539	8775006	Common Stock		26-SEP-2025				4	A	false				0.22	F6	0.0		A		49300.98				D			
0001193125-25-225539	8775004	Common Stock		26-SEP-2025				4	A	false				0.22	F4	0.0		A		49300.52				D			
